Число точек:  CYCLES=395999
Фактический интервал:  CYCTIME=1.666666e-002
шаг АЦП: COEF=5.960464e-004
Единицы измерений АЦП:  UNITS='мВ'
CHANNELS:
'кнл1' 
DATA:
0                :7.67708           
0.0166667        :7.67052           
0.0333333        :7.67589           
0.05             :7.67052           
0.0666667        :7.67946           
0.0833333        :7.6741            
0.1              :7.6735            
0.116667         :7.67171           
0.133333         :7.6735            
0.15             :7.66873           
0.166667         :7.67708           
0.183333         :7.6741            
0.2              :7.67648           
0.216667         :7.66933           
0.233333         :7.67052           
0.25             :7.66575           
0.266667         :7.67648           
0.283333         :7.67231           
0.3              :7.67469           
0.316667         :7.66873           
0.333333         :7.67171           
0.35             :7.66873           
0.366667         :7.67231           
0.383333         :7.67291           
0.4              :7.6741            
0.416667         :7.67052           
0.433333         :7.67231           
0.45             :7.66873           
0.466667         :7.6735            
0.483333         :7.67171           
0.5              :7.6741            
0.516667         :7.66873           
0.533333         :7.67112           
0.55             :7.66754           
0.566667         :7.6735            
0.583333         :7.67052           
0.6              :7.6735            
0.616667         :7.66754           
0.633333         :7.67052           
0.65             :7.66754           
0.666667         :7.67112           
0.683333         :7.67291           
0.7              :7.67529           
0.716667         :7.66754           
0.733333         :7.66993           
0.75             :7.66516           
0.766667         :7.6735            
0.783333         :7.67171           
0.8              :7.67469           
0.816667         :7.66814           
0.833333         :7.66873           
0.85             :7.66814           
0.866667         :7.67469           
0.883333         :7.67112           
0.9              :7.67171           
0.916667         :7.66814           
0.933333         :7.67052           
0.95             :7.66754           
0.966667         :7.67529           
0.983333         :7.66814           
1                :7.67171           
1.01667          :7.66337           
1.03333          :7.67052           
1.05             :7.66516           
1.06667          :7.67231           
1.08333          :7.66993           
1.1              :7.67052           
1.11667          :7.66575           
1.13333          :7.66456           
1.15             :7.66456           
1.16667          :7.67052           
1.18333          :7.67052           
1.2              :7.66873           
1.21667          :7.66575           
1.23333          :7.66456           
1.25             :7.66158           
1.26667          :7.67231           
1.28333          :7.66695           
1.3              :7.67052           
1.31667          :7.66337           
1.33333          :7.66635           
1.35             :7.66397           
1.36667          :7.66635           
1.38333          :7.66456           
1.4              :7.66397           
1.41667          :7.66158           
1.43333          :7.66456           
1.45             :7.66039           
1.46667          :7.66635           
1.48333          :7.66456           
1.5              :7.66397           
1.51667          :7.66039           
1.53333          :7.66158           
1.55             :7.65681           
1.56667          :7.66635           
1.58333          :7.66397           
1.6              :7.66337           
1.61667          :7.66158           
1.63333          :7.66516           
1.65             :7.66277           
1.66667          :7.66933           
1.68333          :7.66754           
1.7              :7.67052           
