Число точек:  CYCLES=395999
Фактический интервал:  CYCTIME=1.666667e-002
шаг АЦП: COEF=5.960464e-004
Единицы измерений АЦП:  UNITS='мВ'
CHANNELS:
'кнл1' 
DATA:
0                :0.417233          
0.0166667        :0.417233          
0.0333333        :0.417829          
0.05             :0.420809          
0.0666667        :0.421405          
0.0833333        :0.422001          
0.1              :0.414252          
0.116667         :0.416636          
0.133333         :0.416636          
0.15             :0.420213          
0.166667         :0.419617          
0.183333         :0.417829          
0.2              :0.416636          
0.216667         :0.418425          
0.233333         :0.414848          
0.25             :0.420213          
0.266667         :0.416636          
0.283333         :0.420213          
0.3              :0.416636          
0.316667         :0.414848          
0.333333         :0.415444          
0.35             :0.416636          
0.366667         :0.419617          
0.383333         :0.417233          
0.4              :0.414252          
0.416667         :0.418425          
0.433333         :0.416636          
0.45             :0.417233          
0.466667         :0.419021          
0.483333         :0.417829          
0.5              :0.413656          
0.516667         :0.41604           
0.533333         :0.41306           
0.55             :0.419021          
0.566667         :0.415444          
0.583333         :0.419021          
0.6              :0.413656          
0.616667         :0.418425          
0.633333         :0.41306           
0.65             :0.419021          
0.666667         :0.417829          
0.683333         :0.420213          
0.7              :0.417233          
0.716667         :0.415444          
0.733333         :0.416636          
0.75             :0.417233          
0.766667         :0.420213          
0.783333         :0.419617          
0.8              :0.41306           
0.816667         :0.416636          
0.833333         :0.413656          
0.85             :0.422001          
0.866667         :0.419617          
0.883333         :0.414848          
0.9              :0.415444          
0.916667         :0.417233          
0.933333         :0.414252          
0.95             :0.421405          
0.966667         :0.415444          
0.983333         :0.421405          
1                :0.414848          
1.01667          :0.413656          
1.03333          :0.413656          
1.05             :0.419617          
1.06667          :0.417233          
1.08333          :0.417829          
1.1              :0.414848          
1.11667          :0.41306           
1.13333          :0.410676          
1.15             :0.420809          
1.16667          :0.420809          
1.18333          :0.420809          
1.2              :0.413656          
1.21667          :0.419021          
1.23333          :0.411868          
1.25             :0.420213          
1.26667          :0.418425          
1.28333          :0.420213          
1.3              :0.408292          
1.31667          :0.417829          
1.33333          :0.407696          
1.35             :0.418425          
1.36667          :0.416636          
1.38333          :0.414252          
1.4              :0.410676          
1.41667          :0.41306           
1.43333          :0.413656          
1.45             :0.417233          
1.46667          :0.417233          
1.48333          :0.417233          
1.5              :0.411272          
1.51667          :0.415444          
1.53333          :0.413656          
1.55             :0.417233          
1.56667          :0.419617          
1.58333          :0.417233          
1.6              :0.413656          
1.61667          :0.41604           
1.63333          :0.41604           
1.65             :0.421405          
1.66667          :0.420809          
1.68333          :0.420809          
1.7              :0.414848          
1.71667          :0.414848          
1.73333          :0.413656          
1.75             :0.422001          
1.76667          :0.420213          
1.78333          :0.422597          
1.8              :0.414848          
1.81667          :0.419021          
1.83333          :0.415444          
1.85             :0.425577          
1.86667          :0.419021          
1.88333          :0.422001          
1.9              :0.413656          
1.91667          :0.41604           
1.93333          :0.413656          
1.95             :0.420213          
1.96667          :0.420213          
1.98333          :0.419617          
2                :0.410676          
2.01667          :0.417829          
2.03333          :0.412464          
2.05             :0.419021          
2.06667          :0.418425          
2.08333          :0.421405          
2.1              :0.410676          
2.11667          :0.414848          
2.13333          :0.413656          
2.15             :0.421405          
2.16667          :0.418425          
2.18333          :0.419617          
2.2              :0.41604           
2.21667          :0.414252          
2.23333          :0.412464          
2.25             :0.423789          
2.26667          :0.420213          
2.28333          :0.418425          
2.3              :0.41306           
2.31667          :0.414848          
2.33333          :0.414848          
2.35             :0.419617          
2.36667          :0.416636          
2.38333          :0.419021          
2.4              :0.412464          
2.41667          :0.414252          
2.43333          :0.410676          
2.45             :0.417829          
2.46667          :0.41604           
2.48333          :0.415444          
2.5              :0.411272          
2.51667          :0.416636          
2.53333          :0.414848          
2.55             :0.417233          
2.56667          :0.416636          
2.58333          :0.414848          
2.6              :0.4071            
2.61667          :0.41306           
2.63333          :0.411272          
2.65             :0.417233          
2.66667          :0.412464          
2.68333          :0.411868          
2.7              :0.405908          
2.71667          :0.409484          
2.73333          :0.4071            
2.75             :0.413656          
2.76667          :0.409484          
2.78333          :0.415444          
2.8              :0.4071            
2.81667          :0.408292          
2.83333          :0.4071            
2.85             :0.408888          
2.86667          :0.409484          
2.88333          :0.41008           
2.9              :0.406504          
2.91667          :0.407696          
2.93333          :0.401735          
2.95             :0.412464          
2.96667          :0.405312          
2.98333          :0.41008           
3                :0.405908          
3.01667          :0.408292          
3.03333          :0.405312          
3.05             :0.414252          
3.06667          :0.408888          
3.08333          :0.408292          
3.1              :0.403523          
3.11667          :0.406504          
3.13333          :0.403523          
3.15             :0.412464          
3.16667          :0.41008           
3.18333          :0.41008           
3.2              :0.407696          
3.21667          :0.4071            
3.23333          :0.407696          
3.25             :0.412464          
3.26667          :0.408888          
3.28333          :0.410676          
3.3              :0.410676          
3.31667          :0.408292          
3.33333          :0.405908          
3.35             :0.415444          
3.36667          :0.411868          
